D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d1t10.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d1t11.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d1t12.flac|Henry
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d1t13.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d1t14.flac|All I Ever Wanted
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t01.flac|Truck Driving Man
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t02.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t03.flac|Fair Chance to Know
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t04.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t05.flac|Sailin'
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t06.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t07.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t08.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t09.flac|Lodi
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t10.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t11.flac|Louisiana Lady
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t12.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t13.flac|Last Lonely Eagle
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t14.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-22.086730.nrps.aud.maloney.sirmick.sbeok.t-flac16\nrps1971-04-22d2t15.flac|Honky Tonk Women
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t01.flac|tuning
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t02.flac|Workin' Man Blues
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t03.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t04.flac|Down in the Boondocks
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t05.flac|Fair Chance to Know
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t06.flac|Big Yellow Taxi
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t07.flac|I Don't Know You
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d1t08.flac|Dirty Business
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t01.flac|Sailin'
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t02.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t03.flac|Lodi
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t04.flac|Henry
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t05.flac|Superman
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t06.flac|Six Days on the Road
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t07.flac|Last Lonely Eagle
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t08.flac|Lochinvar
D:\Jerry Garcia\1971\jg1971-04-25.095971.nrps.sbd.berger.sbeok.t-flac16\nrps1971-04-25d2t09.flac|Louisiana Lady
